Date,Gold,Silver,Yuan,ETH,LTC,XRP,ETC,STR,DASH,SC,XMR,XEM,BTC
2019-04-23,1273.45,14.975,6.7082,173.4671088453266,77.04445775124502,0.3240863774222222,5.987425176588801,0.1119258817563496,123.03790546066091,0.0029920780271499394,69.86613011099817,0.06388640676488667,5540.885235462851
2019-04-24,1273.8,14.805,6.7205,165.22836072569953,72.46678236301094,0.30091681232772544,5.5419850421835175,0.10308071365139777,116.13455507820503,0.002848138740633732,67.37557004843157,0.05909887886814994,5477.1898858341
2019-04-25,1277.85,14.865,6.7307,158.2851954220213,72.14485759067809,0.29952539480840784,5.457788905719763,0.10105938117519452,112.83001981677637,0.0028057345218885847,63.23437413303199,0.05876160979804396,5293.8387205445
2019-04-26,1281.5,15.0,6.7307,151.94393340864156,71.02135940800048,0.28946942465968795,5.302113244171568,0.09671308474301073,106.7361567919205,0.002627792925888943,61.03301544599362,0.05667788663682035,5152.53514880185
2019-04-27,1281.825,14.985,6.73085,152.22364510129108,68.75440344693443,0.2890080779914985,5.404193984762842,0.09556392018122428,106.24955650536226,0.0026009024010502212,60.61167439883033,0.055469028493679386,5150.279450612425
2019-04-28,1281.9875000000002,14.9775,6.730925,152.36350094761588,67.62092546640142,0.28877740465740387,5.455234355058479,0.09498933790033105,106.00625636208315,0.0025874571386308607,60.40100387524869,0.0548645994221089,5149.151601517712
2019-04-29,1282.15,14.97,6.731,152.50335679394064,66.48744748586839,0.28854673132330916,5.506274725354117,0.09441475561943782,105.76295621880404,0.0025740118762115,60.19033335166704,0.05426017035053842,5148.023752423
2019-04-30,1285.15,14.985,6.7286,157.01200382848037,70.47194406439087,0.3020446095107831,5.728723763454517,0.09742869487847824,108.37321972624396,0.002557046625091287,61.48162905369491,0.05432419462693939,5218.4625001863005
2019-05-01,1286.45,14.9575,6.7440999999999995,162.4872975759286,71.87703486693235,0.2988923515550814,5.66982751449234,0.09430956163241883,112.22636363967763,0.00253612062512212,63.961505135867654,0.0521678113193508,5533.8761630617
2019-05-02,1287.1,14.94375,6.751849999999999,165.22494444965272,72.5795802682031,0.29731622257723056,5.640379390011251,0.0927499950093891,114.15293559639446,0.002525657625137536,65.20144317695403,0.0510896196655565,5691.5829944994
2019-05-03,1287.425,14.936875,6.755725,166.5937678865148,72.93085296883848,0.2965281580883051,5.625655327770707,0.09197021169787425,115.11622157475287,0.002520426125145244,65.82141219749721,0.05055052383865935,5770.43641021825
2019-05-04,1287.5875,14.9334375,6.7576625,167.27817960494582,73.10648931915617,0.29613412584384247,5.618293296650435,0.09158032004211683,115.59786456393209,0.002517810375149098,66.1313967077688,0.050280975925210775,5809.863118077675
2019-05-05,1287.66875,14.93171875,6.7586312500000005,167.62038546416133,73.19430749431501,0.29593710972161114,5.614612281090299,0.09138537421423812,115.83868605852169,0.002516502500151025,66.2863889629046,0.05014620196848649,5829.576472007388
2019-05-06,1287.709375,14.930859375,6.759115625,167.7914883937691,73.23821658189442,0.29583860166049547,5.6127717733102305,0.09128790130029876,115.9590968058165,0.0025158485626519886,66.36388509047251,0.05007881499012434,5839.4331489722435
2019-05-07,1287.7296875,14.9304296875,6.759357812499999,167.87703985857297,73.26017112568414,0.2957893476299376,5.611851519420197,0.09123916484332908,116.01930217946389,0.0025155215939024703,66.40263315425645,0.05004512150094327,5844.361487454671
